,Data Year,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Utility name,Plant FIPS state code,Plant FIPS county code,Latitude,Longitude,Plant primary coal/oil/gas/ other fossil fuel category,Plant capacity factor,Plant nameplate capacity (MW),Plant annual coal net generation (MWh),total population (ACS2018),Total Households,Buffer distance,State percentile for EJ Index for Particulate Matter (PxM 2.5),Regional percentile for EJ Index for Particulate Matter (PM 2.5),National percentile for EJ Index for Particulate Matter (PM 2.5),Raw data for People of Color Population,State percentile for People of Color Population,Regional percentile for People of Color Population,National percentile for People of Color Population,State average for People of Color Population,Regional average for People of Color Population,National average for People of Color Population,Raw data for Low Income Population,State percentile for Low Income Population,Regional percentile for Low Income Population,National percentile for Low Income Population,State average for Low Income Population,Regional average for Low Income Population,National average for Low Income Population,Raw data for Linguistically Isolated Population,State percentile for Linguistically Isolated Population,Regional percentile for Linguistically Isolated Population,National percentile for Linguistically Isolated Population,State average for Linguistically Isolated Population,Regional average for Linguistically Isolated Population,National average for Linguistically Isolated Population,Raw data for Population with Less Than High School Education,State percentile for Population with Less Than High School Education,Regional percentile for Population with Less Than High School Education,National percentile for Population with Less Than High School Education,State average for Population with Less Than High School Education,Regional average for Population with Less Than High School Education,National average for Population with Less Than High School Education,PM 2.5 Emssions (tons)
842,2019,MD,Brandon Shores,602,Brandon Shores LLC,24,3.0,39.18,-76.5389,COAL,0.18591,1370.2,2206360.7,32278,11790,3 miles,5.0,9.0,7.0,0.19,24.0,45.0,35.0,0.49,0.33,0.39,0.14,39.0,29.0,22.0,0.22,0.27,0.33,0.01,53.0,61.0,50.0,0.03,0.03,0.04,0.09,59.0,55.0,49.0,0.1,0.1,0.13,99.47604070622317
843,2019,AZ,Coronado Generating Station,6177,Salt River Project,4,1.0,34.5789,-109.2708,COAL,0.28823,821.8,2063038.829,3,1,3 miles,46.0,32.0,54.0,0.19,18.0,7.0,35.0,0.45,0.6,0.39,0.41,61.0,66.0,68.0,0.36,0.33,0.33,0.0,36.0,20.0,45.0,0.04,0.08,0.04,0.02,14.0,11.0,13.0,0.13,0.16,0.13,339.4540623988021
844,2019,TX,San Miguel,6183,"San Miguel Electric Coop, Inc",48,13.0,28.7044,-98.4775,COAL,0.57687,410.0,2067068.3,1,1,3 miles,32.0,35.0,50.0,0.33,25.0,33.0,52.0,0.58,0.52,0.39,0.2,29.0,25.0,33.0,0.35,0.37,0.33,0.02,34.0,44.0,54.0,0.08,0.06,0.04,0.27,76.0,80.0,88.0,0.17,0.16,0.13,66.02980816625869
845,2019,ND,Coyote,8222,Otter Tail Power Co,38,57.0,47.221447,-101.815722,COAL,0.52302,450.0,2055079.2,144,64,3 miles,68.0,58.0,45.0,0.07,33.0,15.0,14.0,0.15,0.25,0.39,0.22,47.0,44.0,38.0,0.26,0.28,0.33,0.0,60.0,55.0,45.0,0.01,0.02,0.04,0.03,23.0,29.0,17.0,0.08,0.08,0.13,265.2354510723132
846,2019,SC,Wateree,3297,"Dominion Energy South Carolina, Inc",45,79.0,33.8264,-80.6228,COAL,0.30487,771.8,2049762.0,114,42,3 miles,84.0,78.0,80.0,0.76,90.0,83.0,81.0,0.36,0.39,0.39,0.53,79.0,79.0,83.0,0.36,0.36,0.33,0.0,62.0,51.0,45.0,0.01,0.03,0.04,0.37,97.0,97.0,94.0,0.13,0.13,0.13,1773.3180328151434
847,2019,CO,Rawhide Energy Station,6761,Platte River Power Authority,8,69.0,40.860905,-105.021207,COAL,0.2906,800.4,1964991.1,108,45,3 miles,19.0,21.0,17.0,0.14,24.0,40.0,29.0,0.32,0.25,0.39,0.14,29.0,23.0,21.0,0.27,0.28,0.33,0.01,52.0,61.0,48.0,0.03,0.02,0.04,0.08,64.0,64.0,46.0,0.09,0.08,0.13,141.64196342208763
848,2019,NE,North Omaha Station,2291,Omaha Public Power District,31,55.0,41.32909,-95.94466,COAL,0.3317,644.7,1797866.9,38348,14610,3 miles,89.0,90.0,71.0,0.59,92.0,92.0,72.0,0.21,0.2,0.39,0.54,87.0,85.0,83.0,0.29,0.31,0.33,0.04,80.0,86.0,68.0,0.03,0.02,0.04,0.16,84.0,82.0,71.0,0.09,0.09,0.13,79.28555428010621
849,2019,PA,Seward,3130,Seward Generating LLC,42,63.0,40.40625,-79.03366,COAL,0.2653,803.2,1857997.8,2449,1078,3 miles,30.0,21.0,15.0,0.02,15.0,10.0,5.0,0.23,0.33,0.39,0.33,65.0,66.0,57.0,0.29,0.27,0.33,0.0,57.0,55.0,45.0,0.02,0.03,0.04,0.13,73.0,69.0,63.0,0.1,0.1,0.13,107.05681293719773
850,2019,IL,Dallman,963,City of Springfield - (IL),17,167.0,39.754803,-89.602389,COAL,0.34256,617.8,1838642.1,31306,11951,3 miles,62.0,74.0,59.0,0.36,57.0,75.0,55.0,0.38,0.25,0.39,0.38,70.0,69.0,65.0,0.29,0.3,0.33,0.0,44.0,59.0,45.0,0.05,0.02,0.04,0.11,62.0,66.0,57.0,0.11,0.1,0.13,87.5741849372464
851,2019,SC,Cope Station,7210,"Dominion Energy South Carolina, Inc",45,75.0,33.3644,-81.03,COAL,0.50652,417.3,917743.94,737,262,3 miles,73.0,68.0,70.0,0.52,74.0,69.0,68.0,0.36,0.39,0.39,0.49,73.0,73.0,78.0,0.36,0.36,0.33,0.0,62.0,51.0,45.0,0.01,0.03,0.04,0.2,78.0,78.0,79.0,0.13,0.13,0.13,297.2062317502078
853,2019,WY,Wyodak,6101,PacifiCorp,56,5.0,44.290128,-105.381482,COAL,0.5252,402.3,1848319.0,2266,811,3 miles,93.0,80.0,62.0,0.26,85.0,66.0,45.0,0.16,0.25,0.39,0.45,87.0,81.0,73.0,0.28,0.28,0.33,0.01,75.0,65.0,51.0,0.01,0.02,0.04,0.1,76.0,72.0,54.0,0.07,0.08,0.13,75.24707860007828
858,2019,MI,Dan E Karn,1702,Consumers Energy Co,26,17.0,43.644996,-83.840074,COAL,0.10674,1946.3,1718581.906,11438,4896,3 miles,49.0,53.0,40.0,0.12,46.0,44.0,24.0,0.25,0.25,0.39,0.36,62.0,66.0,62.0,0.33,0.3,0.33,0.0,63.0,59.0,45.0,0.02,0.02,0.04,0.13,75.0,74.0,64.0,0.09,0.1,0.13,24.163697891031532
859,2019,GA,Wansley (6052),6052,Georgia Power Co,13,149.0,33.41342,-85.032329,COAL,0.10593,1956.8,1805220.4,672,254,3 miles,29.0,31.0,32.0,0.07,6.0,14.0,16.0,0.47,0.39,0.39,0.44,65.0,65.0,72.0,0.36,0.36,0.33,0.01,53.0,53.0,47.0,0.03,0.03,0.04,0.17,68.0,69.0,73.0,0.13,0.13,0.13,78.6055779540207
864,2019,MO,John Twitty Energy Center,6195,City Utilities of Springfield - (MO),29,77.0,37.151706,-93.38804,COAL,0.33792,603.0,1732531.5,27098,10965,3 miles,22.0,18.0,12.0,0.15,58.0,56.0,29.0,0.2,0.2,0.39,0.31,50.0,55.0,54.0,0.33,0.31,0.33,0.01,75.0,69.0,47.0,0.01,0.02,0.04,0.06,35.0,42.0,35.0,0.1,0.09,0.13,103.00872904362905
865,2019,MN,Allen S King,1915,Northern States Power Co - Minnesota,27,163.0,45.03,-92.7786,COAL,0.33178,598.4,1736143.2,24845,9411,3 miles,28.0,28.0,20.0,0.12,49.0,45.0,25.0,0.2,0.25,0.39,0.17,40.0,30.0,28.0,0.25,0.3,0.33,0.0,56.0,59.0,45.0,0.02,0.02,0.04,0.04,42.0,30.0,25.0,0.07,0.1,0.13,208.503686456944
866,2019,MD,Morgantown,1573,GenOn Mid-Atlantic LLC,24,17.0,38.3592,-76.9767,COAL,0.12812,1548.0,1736787.0,1757,621,3 miles,52.0,67.0,56.0,0.34,40.0,62.0,53.0,0.49,0.33,0.39,0.33,77.0,67.0,57.0,0.22,0.27,0.33,0.0,47.0,55.0,45.0,0.03,0.03,0.04,0.08,55.0,51.0,46.0,0.1,0.1,0.13,97.51498291390048
867,2019,NV,North Valmy,8224,Sierra Pacific Power Co,32,13.0,40.881317,-117.151605,COAL,0.34201,567.0,1688609.57,0,0,3 miles,,,,,,,,0.5,0.6,0.39,,,,,0.34,0.33,0.33,,,,,0.06,0.08,0.04,,,,,0.14,0.16,0.13,33.76101583445109
870,2019,IL,Marion,976,Southern Illinois Power Coop,17,199.0,37.619747,-88.953114,COAL,0.44689,422.0,1643167.8,3078,1122,3 miles,20.0,22.0,16.0,0.09,20.0,36.0,19.0,0.38,0.25,0.39,0.18,35.0,32.0,30.0,0.29,0.3,0.33,0.0,44.0,59.0,45.0,0.05,0.02,0.04,0.05,37.0,37.0,32.0,0.11,0.1,0.13,42.27209020684314
871,2019,IA,George Neal North,1091,MidAmerican Energy Co,19,193.0,42.325814,-96.381184,COAL,0.17208,1080.3,1616382.348,104,45,3 miles,51.0,48.0,37.0,0.12,61.0,50.0,25.0,0.14,0.2,0.39,0.22,39.0,37.0,38.0,0.29,0.31,0.33,0.0,66.0,66.0,45.0,0.02,0.02,0.04,0.08,61.0,53.0,43.0,0.08,0.09,0.13,52.86188806892466
873,2019,MO,Sikeston,6768,City of Sikeston - (MO),29,201.0,36.8791,-89.6209,COAL,0.70797,261.0,1616578.4,13993,5958,3 miles,75.0,76.0,56.0,0.34,82.0,82.0,53.0,0.2,0.2,0.39,0.43,70.0,74.0,72.0,0.33,0.31,0.33,0.0,72.0,66.0,45.0,0.01,0.02,0.04,0.14,71.0,77.0,65.0,0.1,0.09,0.13,154.69711479921503
874,2019,KY,Elmer Smith,1374,City of Owensboro - (KY),21,59.0,37.7942,-87.0608,COAL,0.41143,445.3,1599837.0,14268,5036,3 miles,41.0,31.0,32.0,0.13,62.0,24.0,26.0,0.15,0.39,0.39,0.41,57.0,60.0,68.0,0.38,0.36,0.33,0.02,81.0,64.0,57.0,0.01,0.03,0.04,0.12,45.0,52.0,59.0,0.14,0.13,0.13,262.2287746367338
876,2019,KS,Holcomb,108,Sunflower Electric Power Corp,20,55.0,37.9308,-100.9725,COAL,0.51383,348.7,1556718.2,0,0,3 miles,,,,,,,,0.24,0.2,0.39,,,,,0.31,0.31,0.33,,,,,0.03,0.02,0.04,,,,,0.09,0.09,0.13,41.69179636616118
877,2019,TN,Bull Run,3396,Tennessee Valley Authority,47,1.0,36.0211,-84.1567,COAL,0.18641,950.0,1539984.0,11206,4364,3 miles,29.0,21.0,20.0,0.1,39.0,19.0,22.0,0.26,0.39,0.39,0.26,32.0,34.0,45.0,0.36,0.36,0.33,0.0,67.0,51.0,45.0,0.02,0.03,0.04,0.11,45.0,48.0,55.0,0.13,0.13,0.13,65.08444071933332
879,2019,OK,Muskogee,2952,Oklahoma Gas & Electric Co,40,101.0,35.76135,-95.28732,COAL,0.09373,1889.0,668704.86,7824,3036,3 miles,66.0,46.0,62.0,0.4,70.0,40.0,58.0,0.34,0.52,0.39,0.33,45.0,48.0,58.0,0.37,0.37,0.33,0.02,76.0,50.0,59.0,0.02,0.06,0.04,0.13,60.0,50.0,62.0,0.12,0.16,0.13,282.22926683084023
880,2019,IA,George Neal South,7343,MidAmerican Energy Co,19,193.0,42.3006,-96.3617,COAL,0.2532,695.9,1534430.97,284,128,3 miles,46.0,45.0,34.0,0.05,33.0,22.0,10.0,0.14,0.2,0.39,0.19,30.0,30.0,31.0,0.29,0.31,0.33,0.0,66.0,66.0,45.0,0.02,0.02,0.04,0.07,60.0,52.0,42.0,0.08,0.09,0.13,72.90670927046655
881,2019,WI,J P Madgett,4271,Dairyland Power Coop,55,11.0,44.303583,-91.912647,COAL,0.45275,387.0,1531049.1,932,458,3 miles,42.0,42.0,31.0,0.07,39.0,30.0,16.0,0.18,0.25,0.39,0.21,40.0,38.0,35.0,0.28,0.3,0.33,0.0,61.0,59.0,45.0,0.02,0.02,0.04,0.05,41.0,37.0,31.0,0.08,0.1,0.13,19.951581287256154
882,2019,NC,Mayo,6250,Duke Energy Progress - (NC),37,145.0,36.5278,-78.8917,COAL,0.22818,763.2,1509831.1,920,372,3 miles,51.0,50.0,54.0,0.31,49.0,49.0,50.0,0.37,0.39,0.39,0.34,50.0,49.0,59.0,0.36,0.36,0.33,0.01,58.0,57.0,50.0,0.02,0.03,0.04,0.14,60.0,59.0,65.0,0.13,0.13,0.13,295.59235802108196
883,2019,IL,Havana,891,Dynegy Midwest Generation Inc,17,125.0,40.2797,-90.08,COAL,0.23426,718.0,1468967.1,3675,1587,3 miles,57.0,68.0,52.0,0.03,7.0,12.0,6.0,0.38,0.25,0.39,0.52,84.0,84.0,81.0,0.29,0.3,0.33,0.0,44.0,59.0,45.0,0.05,0.02,0.04,0.11,60.0,65.0,55.0,0.11,0.1,0.13,0.5759674329433813
884,2019,KY,E W Brown,1355,Kentucky Utilities Co,21,167.0,37.78831,-84.71257,COAL,0.0934,1747.7,952459.6,2239,834,3 miles,24.0,19.0,18.0,0.1,55.0,19.0,22.0,0.15,0.39,0.39,0.27,33.0,36.0,47.0,0.38,0.36,0.33,0.0,74.0,51.0,45.0,0.01,0.03,0.04,0.15,59.0,65.0,69.0,0.14,0.13,0.13,1342.4730677824095
886,2019,WI,Edgewater (4050),4050,Wisconsin Power & Light Co,55,117.0,43.715142,-87.705863,COAL,0.19541,833.7,1423953.3,27546,11888,3 miles,72.0,64.0,49.0,0.25,78.0,65.0,43.0,0.18,0.25,0.39,0.32,66.0,60.0,56.0,0.28,0.3,0.33,0.01,74.0,67.0,52.0,0.02,0.02,0.04,0.1,71.0,62.0,52.0,0.08,0.1,0.13,29.21118487343155
888,2019,NE,Gerald Whelan Energy Center,60,City of Hastings - (NE),31,1.0,40.580872,-98.312437,COAL,0.49901,324.3,1416487.54,2466,874,3 miles,78.0,78.0,57.0,0.27,74.0,76.0,45.0,0.21,0.2,0.39,0.49,83.0,81.0,79.0,0.29,0.31,0.33,0.05,82.0,88.0,71.0,0.03,0.02,0.04,0.19,87.0,86.0,77.0,0.09,0.09,0.13,31.677860992056573
890,2019,MI,Trenton Channel,1745,DTE Electric Company,26,163.0,42.1217,-83.1808,COAL,0.20565,775.5,1392173.06,40916,17028,3 miles,30.0,34.0,25.0,0.1,41.0,40.0,21.0,0.25,0.25,0.39,0.2,32.0,36.0,33.0,0.33,0.3,0.33,0.01,66.0,62.0,47.0,0.02,0.02,0.04,0.06,40.0,40.0,34.0,0.09,0.1,0.13,13.209000008896055
891,2019,IN,F B Culley Generating Station,1012,Southern Indiana Gas & Elec Co,18,173.0,37.9111,-87.3275,COAL,0.37949,414.9,1354279.4,1263,505,3 miles,18.0,13.0,9.0,0.05,28.0,23.0,11.0,0.21,0.25,0.39,0.17,23.0,29.0,27.0,0.33,0.3,0.33,0.0,65.0,59.0,45.0,0.02,0.02,0.04,0.08,46.0,56.0,47.0,0.11,0.1,0.13,194.58367056720343
892,2019,HI,AES Hawaii,10673,AES Hawaii LLC,15,3.0,21.303419,-158.106528,COAL,0.74079,203.0,1301945.987,7635,2372,3 miles,,,,0.73,31.0,61.0,80.0,0.78,0.6,0.39,0.19,45.0,32.0,32.0,0.23,0.33,0.33,0.01,27.0,21.0,46.0,0.06,0.08,0.04,0.05,41.0,25.0,30.0,0.08,0.16,0.13,123.26944608379483
893,2019,NC,Asheville,2706,Duke Energy Progress - (NC),37,21.0,35.4731,-82.5417,COAL,0.10526,1425.1,1041740.3,28452,13017,3 miles,15.0,16.0,14.0,0.19,32.0,34.0,36.0,0.37,0.39,0.39,0.23,30.0,29.0,40.0,0.36,0.36,0.33,0.04,82.0,76.0,69.0,0.02,0.03,0.04,0.05,26.0,24.0,30.0,0.13,0.13,0.13,201.47003009924848
894,2019,VA,Clover Power Station,7213,Virginia Electric & Power Co,51,83.0,36.869,-78.704,COAL,0.17249,848.0,1273159.9,684,222,3 miles,69.0,72.0,62.0,0.54,73.0,76.0,69.0,0.38,0.33,0.39,0.23,53.0,49.0,40.0,0.25,0.27,0.33,0.0,52.0,55.0,45.0,0.03,0.03,0.04,0.19,82.0,85.0,77.0,0.11,0.1,0.13,194.22694912069431
896,2019,CO,Ray D Nixon,8219,City of Colorado Springs - (CO),8,41.0,38.633451,-104.70577,COAL,0.50306,282.6,1237743.2,3949,1369,3 miles,59.0,65.0,49.0,0.42,73.0,82.0,60.0,0.32,0.25,0.39,0.23,50.0,45.0,39.0,0.27,0.28,0.33,0.01,50.0,60.0,47.0,0.03,0.02,0.04,0.06,55.0,53.0,36.0,0.09,0.08,0.13,69.85813861279374
897,2019,NM,Escalante,87,"Tri-State G & T Assn, Inc",35,31.0,35.4159,-108.082,COAL,0.53713,257.0,1206120.7,76,20,3 miles,59.0,60.0,73.0,0.97,92.0,93.0,95.0,0.62,0.52,0.39,0.76,94.0,95.0,96.0,0.42,0.37,0.33,0.1,80.0,78.0,84.0,0.05,0.06,0.04,0.39,94.0,91.0,95.0,0.15,0.16,0.13,3.208158305366342
898,2019,IL,Waukegan,883,Midwest Generations EME LLC,17,97.0,42.3833,-87.8133,COAL,0.149,914.7,1179550.0,63427,20741,3 miles,86.0,93.0,84.0,0.8,83.0,91.0,84.0,0.38,0.25,0.39,0.48,80.0,80.0,77.0,0.29,0.3,0.33,0.12,85.0,94.0,86.0,0.05,0.02,0.04,0.27,89.0,93.0,88.0,0.11,0.1,0.13,127.01292152938203
899,2019,WI,Genoa,4143,Dairyland Power Coop,55,123.0,43.5589,-91.2325,COAL,0.39271,345.6,1185411.6,696,273,3 miles,67.0,61.0,46.0,0.05,30.0,23.0,12.0,0.18,0.25,0.39,0.34,69.0,62.0,59.0,0.28,0.3,0.33,0.01,65.0,61.0,46.0,0.02,0.02,0.04,0.08,63.0,54.0,46.0,0.08,0.1,0.13,14.20921181806075
900,2019,IL,Archer Daniels Midland Co.,10865,Archer Daniels Midland Co,17,115.0,39.870074,-88.890756,COAL,0.40493,335.0,1185182.6,19598,8408,3 miles,59.0,70.0,55.0,0.31,51.0,71.0,50.0,0.38,0.25,0.39,0.48,80.0,80.0,77.0,0.29,0.3,0.33,0.01,45.0,60.0,46.0,0.05,0.02,0.04,0.16,74.0,80.0,70.0,0.11,0.1,0.13,44.549835918026524
901,2019,VA,Virginia City Hybrid Energy Center,56808,Virginia Electric & Power Co,51,195.0,36.916389,-82.338055,COAL,0.20252,668.0,982824.13,2352,1037,3 miles,53.0,60.0,49.0,0.09,12.0,27.0,19.0,0.38,0.33,0.39,0.44,82.0,81.0,72.0,0.25,0.27,0.33,0.0,52.0,55.0,45.0,0.03,0.03,0.04,0.19,82.0,85.0,77.0,0.11,0.1,0.13,74.54923535235694
902,2019,LA,Dolet Hills Power Station,51,Cleco Power LLC,22,31.0,32.030556,-93.569167,COAL,0.18466,720.7,1155297.8,123,46,3 miles,86.0,75.0,85.0,0.57,70.0,57.0,71.0,0.41,0.52,0.39,0.66,86.0,88.0,92.0,0.39,0.37,0.33,0.0,62.0,36.0,45.0,0.02,0.06,0.04,0.22,74.0,71.0,81.0,0.15,0.16,0.13,13.704504857910702
903,2019,IA,Burlington (IA),1104,Interstate Power and Light Co,19,57.0,40.7412,-91.116667,COAL,0.44982,290.8,1144052.9,2721,1203,3 miles,30.0,33.0,24.0,0.07,44.0,33.0,15.0,0.14,0.2,0.39,0.16,22.0,23.0,25.0,0.29,0.31,0.33,0.01,67.0,67.0,46.0,0.02,0.02,0.04,0.08,63.0,55.0,45.0,0.08,0.09,0.13,82.45741728271209
904,2019,MD,AES Warrior Run,10678,AES WR Ltd Partnership,24,1.0,39.595171,-78.745333,COAL,0.55024,229.0,1102898.6,9303,3460,3 miles,49.0,62.0,52.0,0.17,22.0,42.0,33.0,0.49,0.33,0.39,0.46,89.0,83.0,75.0,0.22,0.27,0.33,0.01,49.0,57.0,46.0,0.03,0.03,0.04,0.13,72.0,69.0,62.0,0.1,0.1,0.13,66.37768127721094
905,2019,IN,Michigan City Generating Station,997,Northern Indiana Pub Serv Co,18,91.0,41.7208,-86.9086,COAL,0.18012,680.0,1067484.18,27845,10744,3 miles,82.0,80.0,66.0,0.39,83.0,77.0,57.0,0.21,0.25,0.39,0.46,75.0,78.0,74.0,0.33,0.3,0.33,0.0,65.0,60.0,45.0,0.02,0.02,0.04,0.14,68.0,75.0,65.0,0.11,0.1,0.13,121.82295156073786
906,2019,KS,Nearman Creek,6064,City of Kansas City - (KS),20,209.0,39.1681,-94.6975,COAL,0.18171,671.0,1054690.1,30735,11009,3 miles,79.0,83.0,63.0,0.53,88.0,90.0,68.0,0.24,0.2,0.39,0.4,70.0,70.0,67.0,0.31,0.31,0.33,0.06,85.0,90.0,74.0,0.03,0.02,0.04,0.17,84.0,83.0,73.0,0.09,0.09,0.13,143.8336092558684
907,2019,PA,"Montour, LLC",3149,TalenEnergy Montour LLC,42,93.0,41.0714,-76.6672,COAL,0.06791,1775.1,1055531.5,1886,673,3 miles,45.0,34.0,25.0,0.02,11.0,8.0,4.0,0.23,0.33,0.39,0.32,64.0,66.0,56.0,0.29,0.27,0.33,0.01,63.0,61.0,50.0,0.02,0.03,0.04,0.16,82.0,80.0,72.0,0.1,0.1,0.13,119.38526574551378
908,2019,IA,Archer Daniels Midland Cedar Rapids,10864,Archer Daniels Midland Co,19,113.0,41.9221,-91.6875,COAL,0.4074,294.6,780991.08,21295,8935,3 miles,32.0,34.0,25.0,0.15,68.0,58.0,30.0,0.14,0.2,0.39,0.33,66.0,59.0,57.0,0.29,0.31,0.33,0.02,77.0,79.0,58.0,0.02,0.02,0.04,0.09,69.0,60.0,50.0,0.08,0.09,0.13,45.6553615899601
911,2019,TN,Eastman Chemical Company,50481,Eastman Chemical Co-TN Ops,47,163.0,36.5219,-82.5431,COAL,0.61757,194.3,430502.07,27038,12012,3 miles,58.0,44.0,47.0,0.11,39.0,19.0,22.0,0.26,0.39,0.39,0.48,73.0,72.0,78.0,0.36,0.36,0.33,0.01,68.0,52.0,46.0,0.02,0.03,0.04,0.15,61.0,62.0,67.0,0.13,0.13,0.13,56.65256115856014
917,2019,NV,TS Power Plant,56224,"Nevada Gold Energy, LLC",32,11.0,40.7461,-116.5297,COAL,0.29238,409.6,1046847.2,2,1,3 miles,23.0,24.0,43.0,0.2,10.0,8.0,37.0,0.5,0.6,0.39,0.07,5.0,8.0,8.0,0.34,0.33,0.33,0.0,26.0,20.0,45.0,0.06,0.08,0.04,0.08,39.0,38.0,45.0,0.14,0.16,0.13,9.233874147042034
918,2019,AL,Charles R Lowman,56,PowerSouth Energy Cooperative,1,129.0,31.488019,-87.910747,COAL,0.0862,1264.7,947434.56,2834,1143,3 miles,71.0,66.0,69.0,0.49,74.0,67.0,66.0,0.34,0.39,0.39,0.51,74.0,75.0,80.0,0.38,0.36,0.33,0.0,72.0,52.0,45.0,0.01,0.03,0.04,0.14,56.0,62.0,67.0,0.14,0.13,0.13,93.04887287615803
919,2019,IL,Hennepin Power Station,892,Dynegy Midwest Generation Inc,17,155.0,41.3028,-89.315,COAL,0.35221,306.3,920668.7,2156,776,3 miles,68.0,79.0,65.0,0.52,69.0,83.0,67.0,0.38,0.25,0.39,0.43,75.0,75.0,71.0,0.29,0.3,0.33,0.07,77.0,89.0,78.0,0.05,0.02,0.04,0.22,84.0,89.0,82.0,0.11,0.1,0.13,46.039716191166754
921,2019,NC,G G Allen,2718,"Duke Energy Carolinas, LLC",37,71.0,35.1897,-81.0122,COAL,0.08897,1148.4,887179.23,14863,5131,3 miles,28.0,28.0,29.0,0.37,58.0,56.0,56.0,0.37,0.39,0.39,0.17,19.0,18.0,28.0,0.36,0.36,0.33,0.02,70.0,67.0,60.0,0.02,0.03,0.04,0.08,40.0,38.0,45.0,0.13,0.13,0.13,113.81905292570548
922,2019,MO,Asbury,2076,Empire District Electric Co,29,97.0,37.361315,-94.58926,COAL,0.40876,231.5,826641.874,382,152,3 miles,27.0,23.0,16.0,0.1,45.0,43.0,21.0,0.2,0.2,0.39,0.31,49.0,54.0,53.0,0.33,0.31,0.33,0.0,73.0,67.0,46.0,0.01,0.02,0.04,0.11,60.0,67.0,55.0,0.1,0.09,0.13,0.28807407050090156
924,2019,PA,Cheswick,8226,"GenOn Power Midwest, LP",42,3.0,40.5383,-79.7906,COAL,0.14154,637.0,773197.37,32422,14871,3 miles,41.0,31.0,23.0,0.13,53.0,36.0,26.0,0.23,0.33,0.39,0.29,59.0,60.0,51.0,0.29,0.27,0.33,0.01,58.0,56.0,46.0,0.02,0.03,0.04,0.08,51.0,49.0,45.0,0.1,0.1,0.13,68.41270650306157
928,2019,FL,Deerhaven,663,Gainesville Regional Utilities,12,1.0,29.7592,-82.3878,COAL,0.19053,471.0,439024.37,6317,2578,3 miles,20.0,25.0,25.0,0.25,32.0,41.0,43.0,0.46,0.39,0.39,0.24,33.0,30.0,41.0,0.35,0.36,0.33,0.02,45.0,66.0,59.0,0.07,0.03,0.04,0.04,18.0,16.0,21.0,0.12,0.13,0.13,146.19697772486603
954,2019,IL,Will County,884,Midwest Generations EME LLC,17,197.0,41.6334,-88.0629,COAL,0.06989,1268.8,774904.53,33022,10667,3 miles,47.0,56.0,42.0,0.34,54.0,73.0,53.0,0.38,0.25,0.39,0.23,44.0,42.0,39.0,0.29,0.3,0.33,0.06,73.0,86.0,74.0,0.05,0.02,0.04,0.13,70.0,75.0,65.0,0.11,0.1,0.13,53.951303570111705
956,2019,IA,Archer Daniels Midland Clinton,10860,Archer Daniels Midland Co,19,45.0,41.8206,-90.2097,COAL,0.41682,211.4,713064.12,19605,8391,3 miles,66.0,60.0,44.0,0.11,60.0,48.0,24.0,0.14,0.2,0.39,0.4,77.0,70.0,67.0,0.29,0.31,0.33,0.01,69.0,69.0,47.0,0.02,0.02,0.04,0.11,78.0,70.0,58.0,0.08,0.09,0.13,39.224917668287446
975,2019,PA,Colver Green Energy,10143,"Inter-Power/AhlCon Partners, L.P.",42,21.0,40.55,-78.8,COAL,0.7417,118.0,766675.5,1815,788,3 miles,46.0,35.0,26.0,0.04,26.0,16.0,10.0,0.23,0.33,0.39,0.27,53.0,56.0,46.0,0.29,0.27,0.33,0.0,57.0,55.0,45.0,0.02,0.03,0.04,0.13,73.0,69.0,62.0,0.1,0.1,0.13,43.3312527443204
976,2019,WY,Wygen III,56596,"Black Hills Power, Inc. d/b/a",56,5.0,44.2919,-105.3806,COAL,0.75021,116.0,761130.61,2231,799,3 miles,93.0,80.0,62.0,0.26,85.0,65.0,45.0,0.16,0.25,0.39,0.44,86.0,81.0,73.0,0.28,0.28,0.33,0.01,75.0,65.0,51.0,0.01,0.02,0.04,0.1,75.0,71.0,53.0,0.07,0.08,0.13,0.47101541296418836
980,2019,CO,Martin Drake,492,City of Colorado Springs - (CO),8,41.0,38.824444,-104.833333,COAL,0.3283,257.3,727288.35,78941,36262,3 miles,65.0,72.0,55.0,0.26,50.0,65.0,45.0,0.32,0.25,0.39,0.37,73.0,71.0,63.0,0.27,0.28,0.33,0.01,56.0,65.0,51.0,0.03,0.02,0.04,0.09,65.0,66.0,47.0,0.09,0.08,0.13,20.629146717557635
983,2019,NE,Sheldon,2277,Nebraska Public Power District,31,109.0,40.5589,-96.7847,COAL,0.36863,228.7,736657.98,494,178,3 miles,34.0,38.0,29.0,0.01,3.0,5.0,2.0,0.21,0.2,0.39,0.1,14.0,12.0,13.0,0.29,0.31,0.33,0.0,57.0,66.0,45.0,0.03,0.02,0.04,0.06,51.0,44.0,36.0,0.09,0.09,0.13,0.9669272145189087
985,2019,WY,Wygen II,56319,"Black Hills Power, Inc. d/b/a",56,5.0,44.2919,-105.3811,COAL,0.87806,95.0,728938.43,2232,799,3 miles,93.0,80.0,62.0,0.26,85.0,65.0,45.0,0.16,0.25,0.39,0.45,87.0,81.0,73.0,0.28,0.28,0.33,0.01,75.0,65.0,51.0,0.01,0.02,0.04,0.1,75.0,72.0,54.0,0.07,0.08,0.13,0.08513825883099063
