,Data Year,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Utility name,Plant FIPS state code,Plant FIPS county code,Latitude,Longitude,Plant primary coal/oil/gas/ other fossil fuel category,Plant capacity factor,Plant nameplate capacity (MW),Plant annual coal net generation (MWh),total population (ACS2018),Total Households,Buffer distance,State percentile for EJ Index for Particulate Matter (PxM 2.5),Regional percentile for EJ Index for Particulate Matter (PM 2.5),National percentile for EJ Index for Particulate Matter (PM 2.5),Raw data for People of Color Population,State percentile for People of Color Population,Regional percentile for People of Color Population,National percentile for People of Color Population,State average for People of Color Population,Regional average for People of Color Population,National average for People of Color Population,Raw data for Low Income Population,State percentile for Low Income Population,Regional percentile for Low Income Population,National percentile for Low Income Population,State average for Low Income Population,Regional average for Low Income Population,National average for Low Income Population,Raw data for Linguistically Isolated Population,State percentile for Linguistically Isolated Population,Regional percentile for Linguistically Isolated Population,National percentile for Linguistically Isolated Population,State average for Linguistically Isolated Population,Regional average for Linguistically Isolated Population,National average for Linguistically Isolated Population,Raw data for Population with Less Than High School Education,State percentile for Population with Less Than High School Education,Regional percentile for Population with Less Than High School Education,National percentile for Population with Less Than High School Education,State average for Population with Less Than High School Education,Regional average for Population with Less Than High School Education,National average for Population with Less Than High School Education,PM 2.5 Emssions (tons)
209,2019,FL,Seminole (136),136,Seminole Electric Cooperative Inc,12,107.0,29.733056,-81.632778,COAL,0.22975,3505.0,7036179.3,1527,633,3 miles,18.0,22.0,21.0,0.04,3.0,7.0,8.0,0.46,0.39,0.39,0.24,32.0,30.0,41.0,0.35,0.36,0.33,0.0,29.0,51.0,45.0,0.07,0.03,0.04,0.12,60.0,54.0,60.0,0.12,0.13,0.13,1070.410747586012
212,2019,OH,Miami Fort Power Station,2832,Vistra Energy Miami Fort,39,61.0,39.1128,-84.8036,COAL,0.55137,1444.0,6954499.3,3043,1334,3 miles,25.0,20.0,14.0,0.05,29.0,22.0,11.0,0.21,0.25,0.39,0.24,42.0,45.0,42.0,0.32,0.3,0.33,0.0,68.0,59.0,45.0,0.01,0.02,0.04,0.1,59.0,61.0,52.0,0.1,0.1,0.13,1043.5946417908453
214,2019,NC,Roxboro,2712,Duke Energy Progress - (NC),37,145.0,36.4833,-79.0731,COAL,0.30804,2574.5,6916201.8,1493,608,3 miles,31.0,31.0,32.0,0.2,34.0,35.0,37.0,0.37,0.39,0.39,0.28,38.0,37.0,48.0,0.36,0.36,0.33,0.05,86.0,80.0,73.0,0.02,0.03,0.04,0.07,36.0,34.0,41.0,0.13,0.13,0.13,601.4525549735063
216,2019,MO,New Madrid Power Plant,2167,"Associated Electric Coop, Inc",29,143.0,36.5147,-89.5617,COAL,0.60419,1300.0,6875680.7,312,138,3 miles,79.0,80.0,60.0,0.21,70.0,69.0,38.0,0.2,0.2,0.39,0.69,94.0,95.0,94.0,0.33,0.31,0.33,0.0,72.0,66.0,45.0,0.01,0.02,0.04,0.2,86.0,88.0,78.0,0.1,0.09,0.13,379.0062850206295
227,2019,PA,Homer City,3122,NRG Homer City Services LLC,42,63.0,40.512825,-79.196107,COAL,0.38739,2012.0,6803250.0,4745,2015,3 miles,44.0,34.0,25.0,0.02,11.0,8.0,4.0,0.23,0.33,0.39,0.34,67.0,68.0,59.0,0.29,0.27,0.33,0.0,57.0,55.0,45.0,0.02,0.03,0.04,0.09,57.0,55.0,50.0,0.1,0.1,0.13,4967.736225884906
250,2019,NE,Nebraska City Station,6096,Omaha Public Power District,31,131.0,40.6214,-95.7764,COAL,0.55964,1389.6,6778371.0,80,33,3 miles,51.0,53.0,40.0,0.04,14.0,18.0,8.0,0.21,0.2,0.39,0.3,58.0,53.0,52.0,0.29,0.31,0.33,0.0,57.0,66.0,45.0,0.03,0.02,0.04,0.12,75.0,70.0,59.0,0.09,0.09,0.13,126.88380986741558
278,2019,AR,White Bluff,6009,Entergy Arkansas LLC,5,69.0,34.4228,-92.1406,COAL,0.42766,1800.0,6733709.7,2142,828,3 miles,26.0,18.0,25.0,0.09,29.0,6.0,19.0,0.27,0.52,0.39,0.4,51.0,58.0,67.0,0.4,0.37,0.33,0.0,67.0,36.0,45.0,0.02,0.06,0.04,0.18,70.0,64.0,75.0,0.14,0.16,0.13,624.8562923936823
280,2019,WV,Fort Martin Power Station,3943,Monongahela Power Co,54,61.0,39.710833,-79.9275,COAL,0.66403,1152.0,6687089.1,6557,2659,3 miles,25.0,35.0,26.0,0.07,64.0,24.0,16.0,0.08,0.33,0.39,0.31,33.0,62.0,53.0,0.39,0.27,0.33,0.01,90.0,59.0,48.0,0.0,0.03,0.04,0.1,42.0,60.0,54.0,0.13,0.1,0.13,6326.929697285784
327,2019,TX,J K Spruce,7097,City of San Antonio - (TX),48,29.0,29.309722,-98.3203,COAL,0.52906,1444.0,6672769.1,2664,875,3 miles,50.0,56.0,70.0,0.53,45.0,53.0,68.0,0.58,0.52,0.39,0.42,63.0,61.0,70.0,0.35,0.37,0.33,0.08,65.0,73.0,79.0,0.08,0.06,0.04,0.18,61.0,63.0,74.0,0.17,0.16,0.13,106.93001760811231
328,2019,KS,Jeffrey Energy Center,6068,"Evergy Kansas Central, Inc",20,149.0,39.286453,-96.117231,COAL,0.34741,2160.0,6547489.2,219,62,3 miles,54.0,60.0,44.0,0.17,49.0,61.0,32.0,0.24,0.2,0.39,0.37,65.0,65.0,63.0,0.31,0.31,0.33,0.0,58.0,66.0,45.0,0.03,0.02,0.04,0.05,37.0,34.0,27.0,0.09,0.09,0.13,543.1802385602266
331,2019,NC,Cliffside,2721,"Duke Energy Carolinas, LLC",37,45.0,35.22,-81.7594,COAL,0.28615,2540.5,5158248.6,2699,990,3 miles,41.0,40.0,43.0,0.09,15.0,17.0,20.0,0.37,0.39,0.39,0.4,60.0,59.0,68.0,0.36,0.36,0.33,0.0,52.0,51.0,45.0,0.02,0.03,0.04,0.16,68.0,67.0,71.0,0.13,0.13,0.13,264.67519923078464
334,2019,IL,Baldwin Energy Complex,889,Dynegy Midwest Generation Inc,17,157.0,38.205,-89.8544,COAL,0.37921,1894.1,6282239.4,555,234,3 miles,46.0,54.0,41.0,0.03,7.0,12.0,6.0,0.38,0.25,0.39,0.29,57.0,55.0,51.0,0.29,0.3,0.33,0.0,44.0,59.0,45.0,0.05,0.02,0.04,0.09,55.0,58.0,49.0,0.11,0.1,0.13,44.46474067819529
336,2019,FL,Curtis H. Stanton Energy Center,564,Orlando Utilities Comm,12,95.0,28.4822,-81.1678,COAL,0.559,1262.0,4231602.6,18410,5162,3 miles,4.0,4.0,3.0,0.51,59.0,68.0,66.0,0.46,0.39,0.39,0.16,16.0,16.0,26.0,0.35,0.36,0.33,0.06,66.0,82.0,76.0,0.07,0.03,0.04,0.11,55.0,49.0,56.0,0.12,0.13,0.13,535.6711631103999
337,2019,ND,Antelope Valley,6469,Basin Electric Power Coop,38,57.0,47.370542,-101.83566,COAL,0.72966,954.0,6075515.3,33,14,3 miles,66.0,57.0,44.0,0.15,66.0,43.0,30.0,0.15,0.25,0.39,0.25,55.0,50.0,43.0,0.26,0.28,0.33,0.01,78.0,66.0,52.0,0.01,0.02,0.04,0.09,67.0,67.0,49.0,0.08,0.08,0.13,1176.7938925743397
338,2019,KY,H L Spurlock,6041,"East Kentucky Power Coop, Inc",21,161.0,38.7,-83.8181,COAL,0.41798,1608.5,5822939.6,2078,909,3 miles,51.0,37.0,40.0,0.02,21.0,5.0,5.0,0.15,0.39,0.39,0.37,50.0,54.0,63.0,0.38,0.36,0.33,0.0,73.0,51.0,45.0,0.01,0.03,0.04,0.12,46.0,53.0,59.0,0.14,0.13,0.13,1665.8120778438454
340,2019,MI,Belle River,6034,DTE Electric Company,26,147.0,42.7756,-82.495,COAL,0.39792,1664.4,5454601.2,6107,2548,3 miles,30.0,34.0,25.0,0.05,21.0,23.0,11.0,0.25,0.25,0.39,0.25,42.0,46.0,43.0,0.33,0.3,0.33,0.0,63.0,59.0,45.0,0.02,0.02,0.04,0.09,59.0,59.0,50.0,0.09,0.1,0.13,20.313995452079162
353,2019,KS,La Cygne,1241,Evergy Metro,20,107.0,38.3481,-94.6456,COAL,0.41396,1598.9,5770549.9,326,148,3 miles,38.0,43.0,32.0,0.05,12.0,24.0,11.0,0.24,0.2,0.39,0.35,61.0,62.0,60.0,0.31,0.31,0.33,0.01,61.0,69.0,47.0,0.03,0.02,0.04,0.13,75.0,74.0,62.0,0.09,0.09,0.13,415.33139729245636
361,2019,IN,Clifty Creek,983,Indiana-Kentucky Electric Corp,18,77.0,38.7378,-85.4206,COAL,0.50108,1303.8,5715780.29,14446,5681,3 miles,43.0,38.0,28.0,0.11,46.0,41.0,22.0,0.21,0.25,0.39,0.4,68.0,71.0,68.0,0.33,0.3,0.33,0.0,65.0,59.0,45.0,0.02,0.02,0.04,0.1,54.0,63.0,54.0,0.11,0.1,0.13,170.78376093274215
